"legacy_cartera_id","id_cartera","id_sucursal","id_cliente","id_vendedor","id_territorio","autorizaok","fecha","dias_cre","concepto","cuota","monto","valorinteres","montototal","abono","saldo","tasa","procesa","trabajo","tipo","quien","atraso","incobrable","id_actividad","proceso","creadoel","creadopor","creadoen","modificadoel","modificadopor","modificadoen","ad_org_id","ad_client_id","isactive","created","createdby","updated","updatedby","synced","local_id","c_bpartner_id","origen","aprobado","masterkey","syncedtocloud","payment_id","coords","minilog","consecutivo","carterastatus","anticipado"
"10624084","29841496525779377",NULL,NULL,NULL,NULL,NULL,"2025-10-03 14:26:29",30,"MODO-02","230.00","6000.0","900.00","6900.0","0.0","900.0","0.15",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2025-10-03 14:26:29",NULL,NULL,NULL,NULL,NULL,"1000019","1000000","Y","2025-10-03 14:26:29","1000119","2025-10-03 14:41:32.593","1000004","Y","1967127","1052692","native","Y","3b3a5dd9-0693-5ea8-9aee-bbcebf6f2fa8","Y","6916904","12.0482855|-86.195682|223.10000610351562|13.630999565124512",NULL,NULL,"VALIDO",NULL
"10624083","29839737002591357",NULL,NULL,NULL,NULL,NULL,"2025-10-03 12:03:44",30,"MODO-02","383.30","10000.0","1500.00","11500.0","0.0","0.0","0.15",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2025-10-03 12:03:44",NULL,NULL,NULL,NULL,NULL,"1000019","1000000","Y","2025-10-03 12:03:44","1000119","2025-10-03 14:41:31.5","1000004","Y","1967126","1052691","native","Y","0708efd7-cbe5-5e4a-9d2e-7c2ba5e70ad6","Y","6916903","12.0483112|-86.1957288|223.10000610351562|15.265999794006348",NULL,NULL,"VALIDO",NULL
"10624082","44158506529886192",NULL,NULL,NULL,NULL,NULL,"2025-10-01 13:54:42",23,"MODO-02","100.00","2000.0","300.00","2300.0","0.0","2300.0","0.15",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2025-10-01 13:54:42",NULL,NULL,NULL,NULL,NULL,"1000014","1000000","Y","2025-10-01 13:54:42","1000083","2025-10-03 14:41:30.523","1000004","Y","1967125","1051051","native","Y","d1007e0b-cd86-5559-84dd-e8398fbde340","Y","6916902","11.8611417|-86.218855|596.3999633789062|15.199999809265137",NULL,NULL,"VALIDO",NULL
"10624081","14240188273743366",NULL,NULL,NULL,NULL,NULL,"2025-10-01 13:52:48",23,"MODO-02","250.00","5000.0","750.00","5750.0","0.0","5750.0","0.15",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2025-10-01 13:52:48",NULL,NULL,NULL,NULL,NULL,"1000020","1000000","Y","2025-10-01 13:52:48","1000044","2025-10-03 14:41:29.446","1000004","Y","1967124","1025870","native","Y","324e5a1f-5817-5acb-97be-bfd075b766aa","Y","6916901","12.95009|-84.9296783|170.6|10.199999809265137",NULL,NULL,"VALIDO",NULL
"10624080","13153797703871726",NULL,NULL,NULL,NULL,NULL,"2025-10-01 13:49:49",23,"MODO-02","300.00","6000.0","900.00","6900.0","0.0","6900.0","0.15",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2025-10-01 13:49:49",NULL,NULL,NULL,NULL,NULL,"1000016","1000000","Y","2025-10-01 13:49:49","1000021","2025-10-03 14:41:28.385","1000004","Y","1967123","1023434","native","Y","92632143-54c8-5ab2-895e-f60b8afa194f","Y","6916900","14.02482|-83.38753|20.5|3.799999952316284",NULL,NULL,"VALIDO",NULL
"10624079","18843861323360114",NULL,NULL,NULL,NULL,NULL,"2025-10-01 13:44:24",30,"MODO-02","76.70","2000.0","300.00","2300.0","0.0","2300.0","0.15",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2025-10-01 13:44:24",NULL,NULL,NULL,NULL,NULL,"1000022","1000000","Y","2025-10-01 13:44:24","1000134","2025-10-03 14:41:27.3","1000004","Y","1967122","1049132","native","Y","6158a577-6cd1-5280-8d02-cc05490b899f","Y","6916899","12.5950617|-86.678895|122.80000305175781|7.099999904632568",NULL,NULL,"VALIDO",NULL
"10624078","17150892301378630",NULL,NULL,NULL,NULL,NULL,"2025-10-01 13:41:09",50,"MODO-02","500.00","20000.0","5000.00","25000.0","0.0","25000.0","0.25",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2025-10-01 13:41:09",NULL,NULL,NULL,NULL,NULL,"1000002","1000000","Y","2025-10-01 13:41:09","1000034","2025-10-03 14:41:26.098","1000004","Y","1967121","1047832","native","Y","b150adad-c752-5324-a584-80fe92790918","Y","6916898","13.3574679|-85.6361657|559.0|22.5",NULL,NULL,"VALIDO",NULL
"10624077","21935882152671085",NULL,NULL,NULL,NULL,NULL,"2025-10-01 13:40:36",30,"MODO-02","306.70","8000.0","1200.00","9200.0","0.0","9200.0","0.15",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2025-10-01 13:40:36",NULL,NULL,NULL,NULL,NULL,"1000004","1000000","Y","2025-10-01 13:40:36","1000066","2025-10-03 14:41:24.946","1000004","Y","1967120","1005513","native","Y","33b1a275-150f-543e-a055-c53161559733","Y","6916897","12.3092354|-86.0528888|82.0|64.0999984741211",NULL,NULL,"VALIDO",NULL
"10624076","21934122805034935",NULL,NULL,NULL,NULL,NULL,"2025-10-01 13:39:05",30,"MODO-02","575.00","15000.0","2250.00","17250.0","0.0","17250.0","0.15",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2025-10-01 13:39:05",NULL,NULL,NULL,NULL,NULL,"1000004","1000000","Y","2025-10-01 13:39:05","1000066","2025-10-03 14:41:23.884","1000004","Y","1967119","1005554","native","Y","e40d4e01-ab7f-5b51-a5d3-3fd2d12159fd","Y","6916896","12.3094824|-86.052965|80.0|33.72999954223633",NULL,NULL,"VALIDO",NULL
"10624075","29387056678372760",NULL,NULL,NULL,NULL,NULL,"2025-10-01 13:36:37",30,"MODO-02","191.70","5000.0","750.00","5750.0","0.0","5750.0","0.15",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2025-10-01 13:36:37",NULL,NULL,NULL,NULL,NULL,"1000012","1000000","Y","2025-10-01 13:36:37","1000104","2025-10-03 14:41:22.747","1000004","Y","1967118","1044749","native","Y","71d51927-ec00-5659-97bf-60080079f1a2","Y","6916895","13.0934281|-85.9964079|1023.3999633789062|19.92300033569336",NULL,NULL,"VALIDO",NULL
