"legacy_schedule_id","ad_client_id","ad_org_id","isactive","created","createdby","updated","updatedby","c_invoice_id","legacy_cobro_id","duedate","dueamt","isvalid","processing","processed","legacy_schedule_uu","legacy_cartera_id","ref_invoice_id","recalc"
"1491840","1000000","1000020","Y","2025-11-06 11:46:51.399","1000000","2025-11-06 11:46:51.399","1000000","1967609",NULL,"2025-10-21 00:00:00","50.00","N","N","N","96239a56-928a-48c6-b5ac-2a9dd515ab39","10624086",NULL,"N"
"1491841","1000000","1000020","Y","2025-11-06 11:46:51.408","1000000","2025-11-06 11:46:51.408","1000000","1967609",NULL,"2025-10-22 00:00:00","47.75","N","N","N","7d5c5488-f2f9-4b40-a7f3-109804773bb5","10624086",NULL,"N"
"1491842","1000000","1000020","Y","2025-11-06 11:46:51.416","1000000","2025-11-06 11:46:51.416","1000000","1967609",NULL,"2025-10-23 00:00:00","45.49","N","N","N","4cec1e8c-cc30-4712-86d6-240962abb788","10624086",NULL,"N"
"1491843","1000000","1000020","Y","2025-11-06 11:46:51.424","1000000","2025-11-06 11:46:51.424","1000000","1967609",NULL,"2025-10-24 00:00:00","43.22","N","N","N","fe3e2779-1027-4526-a303-ccead1382aa3","10624086",NULL,"N"
"1491844","1000000","1000020","Y","2025-11-06 11:46:51.432","1000000","2025-11-06 11:46:51.432","1000000","1967609",NULL,"2025-10-25 00:00:00","40.93","N","N","N","45bdaa52-2656-40ea-bee0-f9ff426a8f60","10624086",NULL,"N"
"1491845","1000000","1000020","Y","2025-11-06 11:46:51.441","1000000","2025-11-06 11:46:51.441","1000000","1967609",NULL,"2025-10-27 00:00:00","38.64","N","N","N","2adef552-2c28-4c3b-bbbe-97c757811db2","10624086",NULL,"N"
"1491846","1000000","1000020","Y","2025-11-06 11:46:51.449","1000000","2025-11-06 11:46:51.449","1000000","1967609",NULL,"2025-10-28 00:00:00","36.33","N","N","N","6d2dba36-33e0-4122-b650-1d1cb98757f1","10624086",NULL,"N"
"1491847","1000000","1000020","Y","2025-11-06 11:46:51.466","1000000","2025-11-06 11:46:51.466","1000000","1967609",NULL,"2025-10-29 00:00:00","34.01","N","N","N","86a92d3c-efb7-486d-ba1a-f94cf4db4372","10624086",NULL,"N"
"1491848","1000000","1000020","Y","2025-11-06 11:46:51.474","1000000","2025-11-06 11:46:51.474","1000000","1967609",NULL,"2025-10-30 00:00:00","31.68","N","N","N","a81b4b9d-611d-4987-b928-28c776939137","10624086",NULL,"N"
"1491849","1000000","1000020","Y","2025-11-06 11:46:51.482","1000000","2025-11-06 11:46:51.482","1000000","1967609",NULL,"2025-10-31 00:00:00","29.34","N","N","N","2634e23c-6ebd-436c-819e-d9aa2a3bf8ca","10624086",NULL,"N"
"1491850","1000000","1000020","Y","2025-11-06 11:46:51.491","1000000","2025-11-06 11:46:51.491","1000000","1967609",NULL,"2025-11-01 00:00:00","26.99","N","N","N","8f1cdfdf-6d5b-4382-bf05-6a82cb51bb44","10624086",NULL,"N"
"1491851","1000000","1000020","Y","2025-11-06 11:46:51.499","1000000","2025-11-06 11:46:51.499","1000000","1967609",NULL,"2025-11-03 00:00:00","24.62","N","N","N","e2f4b9bf-11d7-4c24-9c29-df5881939558","10624086",NULL,"N"
"1491852","1000000","1000020","Y","2025-11-06 11:46:51.507","1000000","2025-11-06 11:46:51.507","1000000","1967609",NULL,"2025-11-04 00:00:00","22.25","N","N","N","64b54a09-6637-4469-98b6-03aff9158649","10624086",NULL,"N"
"1491853","1000000","1000020","Y","2025-11-06 11:46:51.515","1000000","2025-11-06 11:46:51.515","1000000","1967609",NULL,"2025-11-05 00:00:00","19.86","N","N","N","31bc44a3-abc6-4d3f-8cd9-ccb6bfcea164","10624086",NULL,"N"
"1491854","1000000","1000020","Y","2025-11-06 11:46:51.524","1000000","2025-11-06 11:46:51.524","1000000","1967609",NULL,"2025-11-06 00:00:00","17.46","N","N","N","7c072606-f535-4124-bdd0-ef5c025ee035","10624086",NULL,"N"
"1491855","1000000","1000020","Y","2025-11-06 11:46:51.532","1000000","2025-11-06 11:46:51.532","1000000","1967609",NULL,"2025-11-07 00:00:00","15.04","N","N","N","10e0134d-9e0d-4513-924a-4926de041ce3","10624086",NULL,"N"
"1491856","1000000","1000020","Y","2025-11-06 11:46:51.54","1000000","2025-11-06 11:46:51.54","1000000","1967609",NULL,"2025-11-08 00:00:00","12.62","N","N","N","a6d0a098-ad6d-42e4-a00b-aa5fc4812416","10624086",NULL,"N"
"1491857","1000000","1000020","Y","2025-11-06 11:46:51.548","1000000","2025-11-06 11:46:51.548","1000000","1967609",NULL,"2025-11-10 00:00:00","10.18","N","N","N","1c4516d4-2d31-4c1a-a927-d7a90f66f4ac","10624086",NULL,"N"
"1491858","1000000","1000020","Y","2025-11-06 11:46:51.557","1000000","2025-11-06 11:46:51.557","1000000","1967609",NULL,"2025-11-11 00:00:00","7.73","N","N","N","54063f7d-4c28-4642-aea9-126ea8677be8","10624086",NULL,"N"
"1491859","1000000","1000020","Y","2025-11-06 11:46:51.565","1000000","2025-11-06 11:46:51.565","1000000","1967609",NULL,"2025-11-12 00:00:00","5.27","N","N","N","40ae759a-b994-4655-9da8-a81decf67eb3","10624086",NULL,"N"
"1491860","1000000","1000020","Y","2025-11-06 11:46:51.573","1000000","2025-11-06 11:46:51.573","1000000","1967609",NULL,"2025-11-13 00:00:00","2.80","N","N","N","05c7fc01-ca7c-448a-b4d7-416dfdad96e6","10624086",NULL,"N"
"1491861","1000000","1000020","Y","2025-11-06 11:46:51.582","1000000","2025-11-06 11:46:51.582","1000000","1967609",NULL,"2025-11-14 00:00:00","437.80","N","N","N","4d32a59a-3b38-4a24-99a5-6704155dc670","10624086",NULL,"N"
"1491862","1000000","1000020","Y","2025-11-06 11:46:51.59","1000000","2025-11-06 11:46:51.59","1000000","1967609",NULL,"2025-11-15 00:00:00","500.00","N","N","N","59801f60-4d70-4641-8fc4-db8cdf6403c4","10624086",NULL,"N"
