"legacy_schedule_id","ad_client_id","ad_org_id","isactive","created","createdby","updated","updatedby","c_invoice_id","legacy_cobro_id","duedate","dueamt","isvalid","processing","processed","legacy_schedule_uu","legacy_cartera_id","ref_invoice_id","recalc"
"1491838","1000000","1000020","Y","2025-11-06 10:50:41.033","1000000","2025-11-06 10:50:41.033","1000000","1967608",NULL,"2025-11-27 00:00:00","0.31","N","N","N","d291122b-7131-4dc0-91c8-ef95c5eaecfc","10624085",NULL,"N"
"1491839","1000000","1000020","Y","2025-11-06 10:50:41.041","1000000","2025-11-06 10:50:41.041","1000000","1967608",NULL,"2025-11-28 00:00:00","-2.19","N","N","N","af34aed4-3249-4d00-b9a2-128b26ec0a58","10624085",NULL,"N"
"1491817","1000000","1000020","Y","2025-11-06 10:50:40.854","1000000","2025-11-06 10:50:40.854","1000000","1967608",NULL,"2025-11-03 00:00:00","50.00","N","N","N","7a55058d-230d-4e5b-bb47-73dbab6556f2","10624085",NULL,"N"
"1491818","1000000","1000020","Y","2025-11-06 10:50:40.868","1000000","2025-11-06 10:50:40.868","1000000","1967608",NULL,"2025-11-04 00:00:00","47.75","N","N","N","d03db89b-5cfe-403e-87d4-6c847b0a055a","10624085",NULL,"N"
"1491819","1000000","1000020","Y","2025-11-06 10:50:40.875","1000000","2025-11-06 10:50:40.875","1000000","1967608",NULL,"2025-11-05 00:00:00","45.49","N","N","N","aff18289-3a12-43b2-a949-0c36346b0d42","10624085",NULL,"N"
"1491820","1000000","1000020","Y","2025-11-06 10:50:40.883","1000000","2025-11-06 10:50:40.883","1000000","1967608",NULL,"2025-11-06 00:00:00","43.22","N","N","N","49f21ffe-051e-4df0-9a96-364db7bc1937","10624085",NULL,"N"
"1491821","1000000","1000020","Y","2025-11-06 10:50:40.891","1000000","2025-11-06 10:50:40.891","1000000","1967608",NULL,"2025-11-07 00:00:00","40.93","N","N","N","d6ef8321-97b4-48a8-a816-61da7973c686","10624085",NULL,"N"
"1491822","1000000","1000020","Y","2025-11-06 10:50:40.9","1000000","2025-11-06 10:50:40.9","1000000","1967608",NULL,"2025-11-08 00:00:00","38.64","N","N","N","7fcd5ac1-df57-4b19-b876-81a01114ec81","10624085",NULL,"N"
"1491823","1000000","1000020","Y","2025-11-06 10:50:40.908","1000000","2025-11-06 10:50:40.908","1000000","1967608",NULL,"2025-11-10 00:00:00","36.33","N","N","N","f357799a-ae24-4dad-ac32-5f4bbeb8753c","10624085",NULL,"N"
"1491824","1000000","1000020","Y","2025-11-06 10:50:40.916","1000000","2025-11-06 10:50:40.916","1000000","1967608",NULL,"2025-11-11 00:00:00","34.01","N","N","N","5c4a0e43-dfee-4dca-9366-db205b10d109","10624085",NULL,"N"
"1491825","1000000","1000020","Y","2025-11-06 10:50:40.925","1000000","2025-11-06 10:50:40.925","1000000","1967608",NULL,"2025-11-12 00:00:00","31.68","N","N","N","3978fbb6-cf0a-4976-bed5-a439f5d2abd2","10624085",NULL,"N"
"1491826","1000000","1000020","Y","2025-11-06 10:50:40.933","1000000","2025-11-06 10:50:40.933","1000000","1967608",NULL,"2025-11-13 00:00:00","29.34","N","N","N","e6bc1c00-56d6-4cdb-9eed-4691dab3ff9f","10624085",NULL,"N"
"1491827","1000000","1000020","Y","2025-11-06 10:50:40.941","1000000","2025-11-06 10:50:40.941","1000000","1967608",NULL,"2025-11-14 00:00:00","26.99","N","N","N","1c0d2d78-a500-41ab-b03f-6e4ca0ea8a02","10624085",NULL,"N"
